alert,real_ttps,possible_ttps,scenario,step,alert_path,timestamp,level,description,rule_id,fired_times,groups,agent,manager,alert_id,full_log,data
"{""timestamp"": ""2025-09-17T13:36:28.789+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - ET SCAN Nikto Web App Scan in Progress"", ""id"": ""86601"", ""firedtimes"": 75, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116188.1793674"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-17T13:36:28.440018+0000"", ""flow_id"": ""1293784698342340.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""192.42.1.174"", ""src_port"": ""50172"", ""dest_ip"": ""172.17.100.121"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""community_id"": ""1:e9JLuV+x0x3w2ddPS5hcPn47sKw="", ""tx_id"": ""4"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2002677"", ""rev"": ""14"", ""signature"": ""ET SCAN Nikto Web App Scan in Progress"", ""category"": ""Web Application Attack"", ""severity"": ""1"", ""metadata"": {""confidence"": [""Medium""], ""created_at"": [""2010_07_30""], ""signature_severity"": [""Informational""], ""updated_at"": [""2020_04_27""]}}, ""http"": {""hostname"": ""video.attackbed.com"", ""url"": ""/SFiWRxYg.ca"", ""http_user_agent"": ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)"", ""http_content_type"": ""text/html"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""status"": ""404"", ""length"": ""196""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""10"", ""pkts_toclient"": ""12"", ""bytes_toserver"": ""1561"", ""bytes_toclient"": ""2714"", ""start"": ""2025-09-17T13:36:28.281540+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:28.789000+00:00,3,Suricata: Alert - ET SCAN Nikto Web App Scan in Progress,86601,75,"['ids', 'suricata']","{'id': '001', 'name': 'inetfw', 'ip': '192.168.100.254'}",{'name': 'wazuh'},1758116188.1793673,,"{'timestamp': '2025-09-17T13:36:28.440018+0000', 'flow_id': '1293784698342340.000000', 'in_iface': 'ens5', 'event_type': 'alert', 'src_ip': '192.42.1.174', 'src_port': '50172', 'dest_ip': '172.17.100.121', 'dest_port': '80', 'proto': 'TCP', 'community_id': '1:e9JLuV+x0x3w2ddPS5hcPn47sKw=', 'tx_id': '4', 'alert': {'action': 'allowed', 'gid': '1', 'signature_id': '2002677', 'rev': '14', 'signature': 'ET SCAN Nikto Web App Scan in Progress', 'category': 'Web Application Attack', 'severity': '1', 'metadata': {'confidence': ['Medium'], 'created_at': ['2010_07_30'], 'signature_severity': ['Informational'], 'updated_at': ['2020_04_27']}}, 'http': {'hostname': 'video.attackbed.com', 'url': '/SFiWRxYg.ca', 'http_user_agent': 'Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)', 'http_content_type': 'text/html', 'http_method': 'GET', 'protocol': 'HTTP/1.1', 'status': '404', 'length': '196'}, 'app_proto': 'http', 'flow': {'pkts_toserver': '10', 'pkts_toclient': '12', 'bytes_toserver': '1561', 'bytes_toclient': '2714', 'start': '2025-09-17T13:36:28.281540+0000'}}"
"{""timestamp"": ""2025-09-17T13:36:29.003+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1795863"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.box HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.box""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.003000+00:00,5,Web server 400 error code.,31101,1,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1795864,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.box HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.box'}"
"{""timestamp"": ""2025-09-17T13:36:29.004+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1796358"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.ca HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.ca""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.004000+00:00,5,Web server 400 error code.,31101,2,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1796358,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.ca HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.ca'}"
"{""timestamp"": ""2025-09-17T13:36:29.005+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - GPL EXPLOIT ISAPI .idq access"", ""id"": ""86601"", ""firedtimes"": 76, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1796852"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-17T13:36:28.534392+0000"", ""flow_id"": ""1293784698342340.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""192.42.1.174"", ""src_port"": ""50172"", ""dest_ip"": ""172.17.100.121"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""community_id"": ""1:e9JLuV+x0x3w2ddPS5hcPn47sKw="", ""tx_id"": ""55"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2101245"", ""rev"": ""13"", ""signature"": ""GPL EXPLOIT ISAPI .idq access"", ""category"": ""access to a potentially vulnerable web application"", ""severity"": ""2"", ""metadata"": {""created_at"": [""2010_09_23""], ""cve"": [""CVE_2000_0071""], ""signature_severity"": [""Major""], ""updated_at"": [""2020_04_22""]}}, ""http"": {""hostname"": ""video.attackbed.com"", ""url"": ""/SFiWRxYg.idq"", ""http_user_agent"": ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)"", ""http_content_type"": ""text/html"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""status"": ""404"", ""length"": ""196""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""61"", ""pkts_toclient"": ""63"", ""bytes_toserver"": ""12844"", ""bytes_toclient"": ""26276"", ""start"": ""2025-09-17T13:36:28.281540+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.005000+00:00,3,Suricata: Alert - GPL EXPLOIT ISAPI .idq access,86601,76,"['ids', 'suricata']","{'id': '001', 'name': 'inetfw', 'ip': '192.168.100.254'}",{'name': 'wazuh'},1758116189.179685,,"{'timestamp': '2025-09-17T13:36:28.534392+0000', 'flow_id': '1293784698342340.000000', 'in_iface': 'ens5', 'event_type': 'alert', 'src_ip': '192.42.1.174', 'src_port': '50172', 'dest_ip': '172.17.100.121', 'dest_port': '80', 'proto': 'TCP', 'community_id': '1:e9JLuV+x0x3w2ddPS5hcPn47sKw=', 'tx_id': '55', 'alert': {'action': 'allowed', 'gid': '1', 'signature_id': '2101245', 'rev': '13', 'signature': 'GPL EXPLOIT ISAPI .idq access', 'category': 'access to a potentially vulnerable web application', 'severity': '2', 'metadata': {'created_at': ['2010_09_23'], 'cve': ['CVE_2000_0071'], 'signature_severity': ['Major'], 'updated_at': ['2020_04_22']}}, 'http': {'hostname': 'video.attackbed.com', 'url': '/SFiWRxYg.idq', 'http_user_agent': 'Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)', 'http_content_type': 'text/html', 'http_method': 'GET', 'protocol': 'HTTP/1.1', 'status': '404', 'length': '196'}, 'app_proto': 'http', 'flow': {'pkts_toserver': '61', 'pkts_toclient': '63', 'bytes_toserver': '12844', 'bytes_toclient': '26276', 'start': '2025-09-17T13:36:28.281540+0000'}}"
"{""timestamp"": ""2025-09-17T13:36:29.007+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 3, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1799062"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.iso8859-8 HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.iso8859-8""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.007000+00:00,5,Web server 400 error code.,31101,3,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1799061,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.iso8859-8 HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.iso8859-8'}"
"{""timestamp"": ""2025-09-17T13:36:29.008+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1799563"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.htw HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.htw""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.008000+00:00,5,Web server 400 error code.,31101,4,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1799564,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.htw HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.htw'}"
"{""timestamp"": ""2025-09-17T13:36:29.010+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 5, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1800058"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.js0x70 HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.js0x70""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.010000+00:00,5,Web server 400 error code.,31101,5,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1800058,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.js0x70 HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.js0x70'}"
"{""timestamp"": ""2025-09-17T13:36:29.012+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 6, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1800556"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.CGI HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.CGI""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.012000+00:00,5,Web server 400 error code.,31101,6,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1800556,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.CGI HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.CGI'}"
"{""timestamp"": ""2025-09-17T13:36:29.015+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 7, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1801051"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.sql HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.sql""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.015000+00:00,5,Web server 400 error code.,31101,7,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.1801052,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.sql HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.sql'}"
"{""timestamp"": ""2025-09-17T13:36:29.019+0000"", ""rule"": {""level"": 5, ""description"": ""Web server 400 error code."", ""id"": ""31101"", ""firedtimes"": 9, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758116189.1802041"", ""full_log"": ""192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] \""GET /SFiWRxYg.ini HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/SFiWRxYg.ini""}, ""location"": ""/var/www/default/log/access.log""}",[],['T1595.002'],1_pwnkit_sshkey,3,data/manifestations_raw\steps\1_pwnkit_sshkey-3\wazuh/logs/alerts/alerts.json,2025-09-17 13:36:29.019000+00:00,5,Web server 400 error code.,31101,9,"['web', 'accesslog', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758116189.180204,"192.42.1.174 - - [17/Sep/2025:13:36:27 +0000] ""GET /SFiWRxYg.ini HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/SFiWRxYg.ini'}"
