alert,real_ttps,possible_ttps,scenario,step,alert_path,timestamp,level,description,rule_id,fired_times,groups,agent,manager,alert_id,full_log,data
"{""timestamp"": ""2025-09-22T06:44:01.552+0000"", ""rule"": {""level"": 8, ""description"": ""New group added to the system."", ""id"": ""5901"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""syslog"", ""adduser""], ""pci_dss"": [""10.2.7"", ""10.2.5"", ""8.1.2""], ""gpg13"": [""4.13""], ""gdpr"": [""IV_35.7.d"", ""IV_32.2""], ""hipaa"": [""164.312.b"", ""164.312.a.2.I"", ""164.312.a.2.II""], ""nist_800_53"": [""AU.14"", ""AC.7"", ""AC.2"", ""IA.4""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523441.11760594"", ""full_log"": ""Sep 22 06:44:01 videoserver useradd[16933]: new group: name=webadmin, GID=1003"", ""predecoder"": {""program_name"": ""useradd"", ""timestamp"": ""Sep 22 06:44:01"", ""hostname"": ""videoserver""}, ""decoder"": {""name"": ""useradd""}, ""location"": ""/var/log/auth.log""}",[],"['T1218', 'T1136.001']",1_pwnkit_localaccount,39,data/manifestations_raw\steps\1_pwnkit_localaccount-39\wazuh/logs/alerts/alerts.json,2025-09-22 06:44:01.552000+00:00,8,New group added to the system.,5901,2,"['syslog', 'adduser']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523441.117606,"Sep 22 06:44:01 videoserver useradd[16933]: new group: name=webadmin, GID=1003",{}
"{""timestamp"": ""2025-09-22T06:44:01.554+0000"", ""rule"": {""level"": 8, ""description"": ""New user added to the system."", ""id"": ""5902"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""syslog"", ""adduser""], ""pci_dss"": [""10.2.7"", ""10.2.5"", ""8.1.2""], ""gpg13"": [""4.13""], ""gdpr"": [""IV_35.7.d"", ""IV_32.2""], ""hipaa"": [""164.312.b"", ""164.312.a.2.I"", ""164.312.a.2.II""], ""nist_800_53"": [""AU.14"", ""AC.7"", ""AC.2"", ""IA.4""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523441.11761076"", ""full_log"": ""Sep 22 06:44:01 videoserver useradd[16933]: new user: name=webadmin, UID=1003, GID=1003, home=/home/webadmin, shell=/bin/bash, from=none"", ""predecoder"": {""program_name"": ""useradd"", ""timestamp"": ""Sep 22 06:44:01"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""useradd"", ""name"": ""useradd""}, ""data"": {""dstuser"": ""webadmin"", ""uid"": ""1003"", ""gid"": ""1003"", ""home"": ""/home/webadmin"", ""shell"": ""/bin/bash,""}, ""location"": ""/var/log/auth.log""}",['T1136'],"['T1218', 'T1136.001']",1_pwnkit_localaccount,39,data/manifestations_raw\steps\1_pwnkit_localaccount-39\wazuh/logs/alerts/alerts.json,2025-09-22 06:44:01.554000+00:00,8,New user added to the system.,5902,2,"['syslog', 'adduser']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523441.1176107,"Sep 22 06:44:01 videoserver useradd[16933]: new user: name=webadmin, UID=1003, GID=1003, home=/home/webadmin, shell=/bin/bash, from=none","{'dstuser': 'webadmin', 'uid': '1003', 'gid': '1003', 'home': '/home/webadmin', 'shell': '/bin/bash,'}"
"{""timestamp"": ""2025-09-22T06:46:09.528+0000"", ""rule"": {""level"": 3, ""description"": ""sshd: authentication success."", ""id"": ""5715"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sshd"", ""authentication_success""], ""gdpr"": [""IV_32.2""], ""gpg13"": [""7.1"", ""7.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""pci_dss"": [""10.2.5""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523569.11761689"", ""full_log"": ""Sep 22 06:46:09 videoserver sshd[16961]: Accepted publickey for webadmin from 192.42.1.174 port 49328 ssh2: RSA SHA256:ZqjkxU6bpxl2cGKYSiCtdpJjP/g4Xf5W673SrtsFBJ4"", ""predecoder"": {""program_name"": ""sshd"", ""timestamp"": ""Sep 22 06:46:09"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sshd"", ""name"": ""sshd""}, ""data"": {""srcip"": ""192.42.1.174"", ""srcport"": ""49328"", ""dstuser"": ""webadmin""}, ""location"": ""/var/log/auth.log""}","['T1078', 'T1021']",['T1033'],1_pwnkit_localaccount,23,data/manifestations_raw\steps\1_pwnkit_localaccount-23\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:09.528000+00:00,3,sshd: authentication success.,5715,1,"['syslog', 'sshd', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523569.117617,Sep 22 06:46:09 videoserver sshd[16961]: Accepted publickey for webadmin from 192.42.1.174 port 49328 ssh2: RSA SHA256:ZqjkxU6bpxl2cGKYSiCtdpJjP/g4Xf5W673SrtsFBJ4,"{'srcip': '192.42.1.174', 'srcport': '49328', 'dstuser': 'webadmin'}"
"{""timestamp"": ""2025-09-22T06:46:09.530+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session opened."", ""id"": ""5501"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""pam"", ""syslog"", ""authentication_success""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523569.11762216"", ""full_log"": ""Sep 22 06:46:09 videoserver sshd[16961]: pam_unix(sshd:session): session opened for user webadmin(uid=1003) by (uid=0)"", ""predecoder"": {""program_name"": ""sshd"", ""timestamp"": ""Sep 22 06:46:09"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""webadmin(uid=1003)"", ""uid"": ""0""}, ""location"": ""/var/log/auth.log""}",['T1078'],['T1033'],1_pwnkit_localaccount,23,data/manifestations_raw\steps\1_pwnkit_localaccount-23\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:09.530000+00:00,3,PAM: Login session opened.,5501,1,"['pam', 'syslog', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523569.117622,Sep 22 06:46:09 videoserver sshd[16961]: pam_unix(sshd:session): session opened for user webadmin(uid=1003) by (uid=0),"{'dstuser': 'webadmin(uid=1003)', 'uid': '0'}"
"{""timestamp"": ""2025-09-22T06:46:09.534+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session opened."", ""id"": ""5501"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""pam"", ""syslog"", ""authentication_success""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523569.11762675"", ""full_log"": ""Sep 22 06:46:09 videoserver systemd: pam_unix(systemd-user:session): session opened for user webadmin(uid=1003) by (uid=0)"", ""predecoder"": {""program_name"": ""systemd"", ""timestamp"": ""Sep 22 06:46:09"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""webadmin(uid=1003)"", ""uid"": ""0""}, ""location"": ""/var/log/auth.log""}",['T1078'],['T1033'],1_pwnkit_localaccount,23,data/manifestations_raw\steps\1_pwnkit_localaccount-23\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:09.534000+00:00,3,PAM: Login session opened.,5501,2,"['pam', 'syslog', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523569.117627,Sep 22 06:46:09 videoserver systemd: pam_unix(systemd-user:session): session opened for user webadmin(uid=1003) by (uid=0),"{'dstuser': 'webadmin(uid=1003)', 'uid': '0'}"
"{""timestamp"": ""2025-09-22T06:46:39.466+0000"", ""rule"": {""level"": 4, ""description"": ""First time user executed sudo."", ""id"": ""5403"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sudo""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523599.11763138"", ""full_log"": ""Sep 22 06:46:39 videoserver sudo[16998]: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 06:46:39"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sudo"", ""name"": ""sudo"", ""ftscomment"": ""First time user executed the sudo command""}, ""data"": {""srcuser"": ""webadmin"", ""dstuser"": ""root"", ""pwd"": ""/home/webadmin"", ""command"": ""/usr/bin/cat /etc/shadow""}, ""location"": ""journald""}",['T1548.003'],['T1003.008'],1_pwnkit_localaccount,24,data/manifestations_raw\steps\1_pwnkit_localaccount-24\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:39.466000+00:00,4,First time user executed sudo.,5403,1,"['syslog', 'sudo']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523599.1176312,Sep 22 06:46:39 videoserver sudo[16998]: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow,"{'srcuser': 'webadmin', 'dstuser': 'root', 'pwd': '/home/webadmin', 'command': '/usr/bin/cat /etc/shadow'}"
"{""timestamp"": ""2025-09-22T06:46:39.480+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session opened."", ""id"": ""5501"", ""firedtimes"": 3, ""mail"": false, ""groups"": [""pam"", ""syslog"", ""authentication_success""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523599.11763473"", ""full_log"": ""Sep 22 06:46:39 videoserver sudo[16998]: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1003)"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 06:46:39"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""root(uid=0)"", ""uid"": ""1003""}, ""location"": ""journald""}",['T1078'],['T1003.008'],1_pwnkit_localaccount,24,data/manifestations_raw\steps\1_pwnkit_localaccount-24\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:39.480000+00:00,3,PAM: Login session opened.,5501,3,"['pam', 'syslog', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523599.1176348,Sep 22 06:46:39 videoserver sudo[16998]: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1003),"{'dstuser': 'root(uid=0)', 'uid': '1003'}"
"{""timestamp"": ""2025-09-22T06:46:39.504+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session closed."", ""id"": ""5502"", ""firedtimes"": 1, ""mail"": false, ""groups"": [""pam"", ""syslog""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523599.11763915"", ""full_log"": ""Sep 22 06:46:39 videoserver sudo[16998]: pam_unix(sudo:session): session closed for user root"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 06:46:39"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""root""}, ""location"": ""journald""}",[],['T1003.008'],1_pwnkit_localaccount,24,data/manifestations_raw\steps\1_pwnkit_localaccount-24\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:39.504000+00:00,3,PAM: Login session closed.,5502,1,"['pam', 'syslog']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523599.1176393,Sep 22 06:46:39 videoserver sudo[16998]: pam_unix(sudo:session): session closed for user root,{'dstuser': 'root'}
"{""timestamp"": ""2025-09-22T06:46:39.529+0000"", ""rule"": {""level"": 4, ""description"": ""First time user executed sudo."", ""id"": ""5403"", ""firedtimes"": 2, ""mail"": false, ""groups"": [""syslog"", ""sudo""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523599.11764296"", ""full_log"": ""Sep 22 06:46:39 videoserver sudo: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 06:46:39"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sudo"", ""name"": ""sudo"", ""ftscomment"": ""First time user executed the sudo command""}, ""data"": {""srcuser"": ""webadmin"", ""dstuser"": ""root"", ""pwd"": ""/home/webadmin"", ""command"": ""/usr/bin/cat /etc/shadow""}, ""location"": ""/var/log/auth.log""}",['T1548.003'],['T1003.008'],1_pwnkit_localaccount,24,data/manifestations_raw\steps\1_pwnkit_localaccount-24\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:39.529000+00:00,4,First time user executed sudo.,5403,2,"['syslog', 'sudo']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523599.1176429,Sep 22 06:46:39 videoserver sudo: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/cat /etc/shadow,"{'srcuser': 'webadmin', 'dstuser': 'root', 'pwd': '/home/webadmin', 'command': '/usr/bin/cat /etc/shadow'}"
"{""timestamp"": ""2025-09-22T06:46:39.530+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session opened."", ""id"": ""5501"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""pam"", ""syslog"", ""authentication_success""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758523599.11764633"", ""full_log"": ""Sep 22 06:46:39 videoserver sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1003)"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 06:46:39"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""root(uid=0)"", ""uid"": ""1003""}, ""location"": ""/var/log/auth.log""}",['T1078'],['T1003.008'],1_pwnkit_localaccount,24,data/manifestations_raw\steps\1_pwnkit_localaccount-24\wazuh/logs/alerts/alerts.json,2025-09-22 06:46:39.530000+00:00,3,PAM: Login session opened.,5501,4,"['pam', 'syslog', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758523599.1176465,Sep 22 06:46:39 videoserver sudo: pam_unix(sudo:session): session opened for user root(uid=0) by (uid=1003),"{'dstuser': 'root(uid=0)', 'uid': '1003'}"
