alert,real_ttps,possible_ttps,scenario,step_dir,alert_path
"{""timestamp"": ""2025-09-22T18:37:00.601+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566220.11498102"", ""full_log"": ""type=SYSCALL msg=audit(1758566218.934:4968): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e506188 a1=55de6e4f6c90 a2=55de6e5060f8 a3=1b6 items=3 ppid=3135 pid=3136 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566218.934:4968): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566218.934:4968): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566218.934:4968): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""4968"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""3135"", ""pid"": ""3136"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:06.758+0000"", ""rule"": {""level"": 7, ""description"": ""Agent event queue is 90% full."", ""id"": ""202"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566226.11500168"", ""full_log"": ""wazuh: Agent buffer: '90%'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""90%""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:06.774+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 7, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566226.11500400"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:10.786+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 8, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566230.11500650"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:12.713+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 9, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566232.11500900"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

