timestamp,alert,description,real_ttps,possible_ttps
2025-09-22T18:37:00.601+0000,"{""timestamp"": ""2025-09-22T18:37:00.601+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566220.11498102"", ""full_log"": ""type=SYSCALL msg=audit(1758566218.934:4968): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e506188 a1=55de6e4f6c90 a2=55de6e5060f8 a3=1b6 items=3 ppid=3135 pid=3136 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566218.934:4968): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566218.934:4968): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566218.934:4968): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""4968"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""3135"", ""pid"": ""3136"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",Processes running for all users were queried with ps command.,['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:37:06.758+0000,"{""timestamp"": ""2025-09-22T18:37:06.758+0000"", ""rule"": {""level"": 7, ""description"": ""Agent event queue is 90% full."", ""id"": ""202"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566226.11500168"", ""full_log"": ""wazuh: Agent buffer: '90%'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""90%""}, ""location"": ""wazuh-agent""}",Agent event queue is 90% full.,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:37:06.774+0000,"{""timestamp"": ""2025-09-22T18:37:06.774+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 7, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566226.11500400"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",Agent event queue is full. Events may be lost.,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:37:33.092+0000,"{""timestamp"": ""2025-09-22T18:37:33.092+0000"", ""rule"": {""level"": 3, ""description"": ""Agent event queue is back to normal load."", ""id"": ""205"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566253.11512993"", ""full_log"": ""wazuh: Agent buffer: 'normal'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""normal""}, ""location"": ""wazuh-agent""}",Agent event queue is back to normal load.,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:41:46.165+0000,"{""timestamp"": ""2025-09-22T18:41:46.165+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""id"": ""86601"", ""firedtimes"": 957, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566506.11513212"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-22T18:41:46.240463+0000"", ""flow_id"": ""362008130598952.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""192.42.1.174"", ""src_port"": ""33600"", ""dest_ip"": ""172.17.100.121"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""metadata"": {""flowints"": {""http"": {""anomaly"": {""count"": ""7""}}}}, ""community_id"": ""1:lSuORPUKIV4VHxWK0lfH3awfQ7U="", ""tx_id"": ""47"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2037838"", ""rev"": ""1"", ""signature"": ""ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""category"": ""access to a potentially vulnerable web application"", ""severity"": ""2"", ""metadata"": {""affected_product"": [""Web_Server_Applications""], ""attack_target"": [""Web_Server""], ""confidence"": [""High""], ""created_at"": [""2022_07_28""], ""deployment"": [""SSLDecrypt"", ""Perimeter""], ""performance_impact"": [""Low""], ""signature_severity"": [""Informational""], ""tag"": [""Description_Generated_By_Proofpoint_Nexus""], ""updated_at"": [""2022_07_28""]}}, ""http"": {""hostname"": ""video.attackbed.com"", ""url"": ""/moving"", ""http_user_agent"": ""Fuzz Faster U Fool v2.1.0-dev"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""length"": ""0""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""40"", ""pkts_toclient"": ""58"", ""bytes_toserver"": ""7042"", ""bytes_toclient"": ""19885"", ""start"": ""2025-09-22T18:31:35.833576+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",Suricata: Alert - ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound),[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:41:46.188+0000,"{""timestamp"": ""2025-09-22T18:41:46.188+0000"", ""rule"": {""level"": 6, ""description"": ""IDS event."", ""id"": ""20101"", ""firedtimes"": 850, ""mail"": false, ""groups"": [""ids""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566506.11515874"", ""full_log"": ""09/22/2025-18:41:46.240463  [**] [1:2037838:1] ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound) [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33600 -> 172.17.100.121:80"", ""predecoder"": {""timestamp"": ""09/22/2025-18:41:46.240463""}, ""decoder"": {""parent"": ""snort"", ""name"": ""snort""}, ""data"": {""srcip"": ""192.42.1.174"", ""dstip"": ""172.17.100.121:80"", ""id"": ""1:2037838:1""}, ""location"": ""/var/log/suricata/fast.log""}",IDS event.,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:41:50.166+0000,"{""timestamp"": ""2025-09-22T18:41:50.166+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - SURICATA HTTP unable to match response to request"", ""id"": ""86601"", ""firedtimes"": 958, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566510.11516291"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-22T18:41:50.283749+0000"", ""flow_id"": ""646103037359913.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""172.17.100.121"", ""src_port"": ""80"", ""dest_ip"": ""192.42.1.174"", ""dest_port"": ""33522"", ""proto"": ""TCP"", ""metadata"": {""flowints"": {""http"": {""anomaly"": {""count"": ""10""}}}}, ""community_id"": ""1:g9TissJsaFDgydALX2P9hQJtjzA="", ""tx_id"": ""40"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2221010"", ""rev"": ""1"", ""signature"": ""SURICATA HTTP unable to match response to request"", ""category"": ""Generic Protocol Command Decode"", ""severity"": ""3""}, ""http"": {""http_port"": ""0"", ""url"": ""/libhtp::request_uri_not_seen"", ""http_content_type"": ""text/html"", ""status"": ""404"", ""length"": ""196""}, ""files"": [{""filename"": ""/libhtp::request_uri_not_seen"", ""sid"": [], ""gaps"": false, ""state"": ""CLOSED"", ""stored"": false, ""size"": 196, ""tx_id"": 40}], ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""32"", ""pkts_toclient"": ""45"", ""bytes_toserver"": ""5416"", ""bytes_toclient"": ""16959"", ""start"": ""2025-09-22T18:31:35.833321+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",Suricata: Alert - SURICATA HTTP unable to match response to request,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:42:58.219+0000,"{""timestamp"": ""2025-09-22T18:42:58.219+0000"", ""rule"": {""level"": 10, ""description"": ""Multiple IDS alerts for same id."", ""id"": ""20152"", ""frequency"": 10, ""firedtimes"": 68, ""mail"": false, ""groups"": [""ids""], ""pci_dss"": [""10.6.1"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.6"", ""SI.4""], ""tsc"": [""CC7.2"", ""CC7.3"", ""CC6.1"", ""CC6.8""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566578.11538417"", ""full_log"": ""09/22/2025-18:42:58.288476  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.17.100.121:80 -> 192.42.1.174:33318"", ""predecoder"": {""timestamp"": ""09/22/2025-18:42:58.288476""}, ""decoder"": {""parent"": ""snort"", ""name"": ""snort""}, ""data"": {""srcip"": ""172.17.100.121"", ""dstip"": ""192.42.1.174:33318"", ""id"": ""1:2221010:1""}, ""location"": ""/var/log/suricata/fast.log""}",Multiple IDS alerts for same id.,[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']"
2025-09-22T18:47:30.430+0000,"{""timestamp"": ""2025-09-22T18:47:30.430+0000"", ""rule"": {""level"": 8, ""description"": ""First time this IDS alert is generated."", ""id"": ""20100"", ""firedtimes"": 70, ""mail"": false, ""groups"": [""ids"", ""fts""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566850.11555811"", ""full_log"": ""09/22/2025-18:47:29.231375  [**] [1:2034567:1] ET HUNTING curl User-Agent to Dotted Quad [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.17.100.121:58182 -> 192.42.1.174:80"", ""predecoder"": {""timestamp"": ""09/22/2025-18:47:29.231375""}, ""decoder"": {""parent"": ""snort"", ""name"": ""snort""}, ""data"": {""srcip"": ""172.17.100.121"", ""dstip"": ""192.42.1.174:80"", ""id"": ""1:2034567:1""}, ""location"": ""/var/log/suricata/fast.log""}",First time this IDS alert is generated.,[],['T1547']
2025-09-22T18:47:30.433+0000,"{""timestamp"": ""2025-09-22T18:47:30.433+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - ET HUNTING curl User-Agent to Dotted Quad"", ""id"": ""86601"", ""firedtimes"": 974, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566850.11556225"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-22T18:47:29.231375+0000"", ""flow_id"": ""1775786872894005.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""172.17.100.121"", ""src_port"": ""58182"", ""dest_ip"": ""192.42.1.174"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""metadata"": {""flowbits"": [""http.dottedquadhost""]}, ""community_id"": ""1:cYzrENwyVDKcFrofH+cwFyiExcc="", ""tx_id"": ""0"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2034567"", ""rev"": ""1"", ""signature"": ""ET HUNTING curl User-Agent to Dotted Quad"", ""category"": ""Potentially Bad Traffic"", ""severity"": ""2"", ""metadata"": {""attack_target"": [""Client_Endpoint""], ""confidence"": [""Medium""], ""created_at"": [""2021_12_01""], ""deployment"": [""Perimeter""], ""signature_severity"": [""Informational""], ""tag"": [""Description_Generated_By_Proofpoint_Nexus""], ""updated_at"": [""2021_12_01""]}}, ""http"": {""hostname"": ""192.42.1.174"", ""url"": ""/TODO.md"", ""http_user_agent"": ""curl/7.74.0"", ""http_content_type"": ""text/markdown"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""status"": ""200"", ""length"": ""525""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""4"", ""pkts_toclient"": ""3"", ""bytes_toserver"": ""355"", ""bytes_toclient"": ""964"", ""start"": ""2025-09-22T18:47:29.225845+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",Suricata: Alert - ET HUNTING curl User-Agent to Dotted Quad,[],['T1547']
