alert,real_ttps,possible_ttps,scenario,step,alert_path,timestamp,level,description,rule_id,fired_times,groups,agent,manager,alert_id,full_log,data
"{""timestamp"": ""2025-09-22T18:37:00.601+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566220.11498102"", ""full_log"": ""type=SYSCALL msg=audit(1758566218.934:4968): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e506188 a1=55de6e4f6c90 a2=55de6e5060f8 a3=1b6 items=3 ppid=3135 pid=3136 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566218.934:4968): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566218.934:4968): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566218.934:4968): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566218.934:4968): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""4968"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""3135"", ""pid"": ""3136"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1_autostart_localaccount,13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json,2025-09-22T18:37:00.601+0000,6,Processes running for all users were queried with ps command.,92604,1,['audit_detections'],"{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758566220.11498102,"type=SYSCALL msg=audit(1758566218.934:4968): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e506188 a1=55de6e4f6c90 a2=55de6e5060f8 a3=1b6 items=3 ppid=3135 pid=3136 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=""ps"" exe=""/usr/bin/ps"" subj==unconfined key=""T1166_Seuid_and_Setgid""ARCH=x86_64 SYSCALL=execve AUID=""unset"" UID=""www-data"" GID=""www-data"" EUID=""www-data"" SUID=""www-data"" FSUID=""www-data"" EGID=""www-data"" SGID=""www-data"" FSGID=""www-data"" type=EXECVE msg=audit(1758566218.934:4968): argc=2 a0=""ps"" a1=""auxwww"" type=PATH msg=audit(1758566218.934:4968): item=0 name=""/usr/bin/ps"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1758566218.934:4968): item=1 name=""/usr/bin/ps"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1758566218.934:4968): item=2 name=""/lib64/ld-linux-x86-64.so.2"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PROCTITLE msg=audit(1758566218.934:4968): proctitle=707300617578777777","{'audit': {'type': 'SYSCALL', 'id': '4968', 'arch': 'c000003e', 'syscall': '59', 'success': 'yes', 'exit': '0', 'ppid': '3135', 'pid': '3136', 'auid': '4294967295', 'uid': '33', 'gid': '33', 'euid': '33', 'suid': '33', 'fsuid': '33', 'egid': '33', 'sgid': '33', 'fsgid': '33', 'tty': 'pts0', 'session': '4294967295', 'command': 'ps', 'exe': '/usr/bin/ps', 'key': 'T1166_Seuid_and_Setgid', 'execve': {'a0': 'ps', 'a1': 'auxwww'}, 'file': {'name': '/usr/bin/ps', 'inode': '17887', 'mode': '0100755'}}}"
"{""timestamp"": ""2025-09-22T18:51:01.034+0000"", ""rule"": {""level"": 3, ""description"": ""sshd: authentication success."", ""id"": ""5715"", ""mitre"": {""id"": [""T1078"", ""T1021""], ""tactic"": [""Defense Evasion"", ""Persistence"", ""Privilege Escalation"", ""Initial Access"", ""Lateral Movement""], ""technique"": [""Valid Accounts"", ""Remote Services""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sshd"", ""authentication_success""], ""gdpr"": [""IV_32.2""], ""gpg13"": [""7.1"", ""7.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""pci_dss"": [""10.2.5""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567061.11560697"", ""full_log"": ""Sep 22 18:51:00 videoserver sshd[17243]: Accepted publickey for root from 10.12.0.222 port 40718 ssh2: ED25519 SHA256:erECc93zjoYONyq1nNcu4EwrYe78nzBExDzOmsokkrc"", ""predecoder"": {""program_name"": ""sshd"", ""timestamp"": ""Sep 22 18:51:00"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sshd"", ""name"": ""sshd""}, ""data"": {""srcip"": ""10.12.0.222"", ""srcport"": ""40718"", ""dstuser"": ""root""}, ""location"": ""journald""}","['T1078', 'T1021']",['T1547'],1_autostart_localaccount,16,data/manifestations_raw\steps\1_autostart_localaccount-16\wazuh/logs/alerts/alerts.json,2025-09-22T18:51:01.034+0000,3,sshd: authentication success.,5715,1,"['syslog', 'sshd', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567061.11560697,Sep 22 18:51:00 videoserver sshd[17243]: Accepted publickey for root from 10.12.0.222 port 40718 ssh2: ED25519 SHA256:erECc93zjoYONyq1nNcu4EwrYe78nzBExDzOmsokkrc,"{'srcip': '10.12.0.222', 'srcport': '40718', 'dstuser': 'root'}"
"{""timestamp"": ""2025-09-22T18:51:01.061+0000"", ""rule"": {""level"": 3, ""description"": ""PAM: Login session opened."", ""id"": ""5501"", ""mitre"": {""id"": [""T1078""], ""tactic"": [""Defense Evasion"", ""Persistence"", ""Privilege Escalation"", ""Initial Access""], ""technique"": [""Valid Accounts""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""pam"", ""syslog"", ""authentication_success""], ""pci_dss"": [""10.2.5""], ""gpg13"": [""7.8"", ""7.9""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567061.11561209"", ""full_log"": ""Sep 22 18:51:00 videoserver sshd[17243]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0)"", ""predecoder"": {""program_name"": ""sshd"", ""timestamp"": ""Sep 22 18:51:00"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""pam"", ""name"": ""pam""}, ""data"": {""dstuser"": ""root(uid=0)"", ""uid"": ""0""}, ""location"": ""journald""}",['T1078'],['T1547'],1_autostart_localaccount,16,data/manifestations_raw\steps\1_autostart_localaccount-16\wazuh/logs/alerts/alerts.json,2025-09-22T18:51:01.061+0000,3,PAM: Login session opened.,5501,1,"['pam', 'syslog', 'authentication_success']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567061.11561209,Sep 22 18:51:00 videoserver sshd[17243]: pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0),"{'dstuser': 'root(uid=0)', 'uid': '0'}"
"{""timestamp"": ""2025-09-22T18:51:02.101+0000"", ""rule"": {""level"": 3, ""description"": ""Wazuh agent stopped."", ""id"": ""506"", ""mitre"": {""id"": [""T1562.001""], ""tactic"": [""Defense Evasion""], ""technique"": [""Disable or Modify Tools""]}, ""firedtimes"": 3, ""mail"": false, ""groups"": [""ossec""], ""pci_dss"": [""10.6.1"", ""10.2.6""], ""gpg13"": [""10.1""], ""gdpr"": [""IV_35.7.d""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.6"", ""AU.14"", ""AU.5""], ""tsc"": [""CC7.2"", ""CC7.3"", ""CC6.8""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567062.11562798"", ""full_log"": ""ossec: Agent stopped: 'videoserver->any'."", ""decoder"": {""parent"": ""ossec"", ""name"": ""ossec""}, ""data"": {""extra_data"": ""videoserver->any""}, ""location"": ""wazuh-remoted""}",['T1562.001'],['T1547'],1_autostart_localaccount,16,data/manifestations_raw\steps\1_autostart_localaccount-16\wazuh/logs/alerts/alerts.json,2025-09-22T18:51:02.101+0000,3,Wazuh agent stopped.,506,3,['ossec'],"{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567062.11562798,ossec: Agent stopped: 'videoserver->any'.,{'extra_data': 'videoserver->any'}
"{""timestamp"": ""2025-09-22T18:53:22.278+0000"", ""rule"": {""level"": 4, ""description"": ""First time user executed sudo."", ""id"": ""5403"", ""mitre"": {""id"": [""T1548.003""], ""tactic"": [""Privilege Escalation"", ""Defense Evasion""], ""technique"": [""Sudo and Sudo Caching""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sudo""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567202.11567373"", ""full_log"": ""Sep 22 18:53:21 videoserver sudo:     root : PWD=/usr/share/zoneminder/www ; USER=www-data ; COMMAND=/usr/bin/true"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 18:53:21"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sudo"", ""name"": ""sudo"", ""ftscomment"": ""First time user executed the sudo command""}, ""data"": {""srcuser"": ""root"", ""dstuser"": ""www-data"", ""pwd"": ""/usr/share/zoneminder/www"", ""command"": ""/usr/bin/true""}, ""location"": ""/var/log/auth.log""}",['T1548.003'],['T1547'],1_autostart_localaccount,16,data/manifestations_raw\steps\1_autostart_localaccount-16\wazuh/logs/alerts/alerts.json,2025-09-22T18:53:22.278+0000,4,First time user executed sudo.,5403,1,"['syslog', 'sudo']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567202.11567373,Sep 22 18:53:21 videoserver sudo:     root : PWD=/usr/share/zoneminder/www ; USER=www-data ; COMMAND=/usr/bin/true,"{'srcuser': 'root', 'dstuser': 'www-data', 'pwd': '/usr/share/zoneminder/www', 'command': '/usr/bin/true'}"
"{""timestamp"": ""2025-09-22T18:53:22.295+0000"", ""rule"": {""level"": 3, ""description"": ""Successful sudo executed."", ""id"": ""5407"", ""mitre"": {""id"": [""T1548.003""], ""tactic"": [""Privilege Escalation"", ""Defense Evasion""], ""technique"": [""Sudo and Sudo Caching""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sudo""], ""pci_dss"": [""10.2.5"", ""10.2.2""], ""gpg13"": [""7.6"", ""7.8"", ""7.13""], ""gdpr"": [""IV_32.2""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567202.11568557"", ""full_log"": ""Sep 22 18:53:21 videoserver sudo:     root : PWD=/usr/share/zoneminder/www ; USER=www-data ; COMMAND=/usr/bin/zmdc.pl check"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 18:53:21"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sudo"", ""name"": ""sudo"", ""ftscomment"": ""First time user executed the sudo command""}, ""data"": {""srcuser"": ""root"", ""dstuser"": ""www-data"", ""pwd"": ""/usr/share/zoneminder/www"", ""command"": ""/usr/bin/zmdc.pl check""}, ""location"": ""/var/log/auth.log""}",['T1548.003'],['T1547'],1_autostart_localaccount,16,data/manifestations_raw\steps\1_autostart_localaccount-16\wazuh/logs/alerts/alerts.json,2025-09-22T18:53:22.295+0000,3,Successful sudo executed.,5407,1,"['syslog', 'sudo']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567202.11568557,Sep 22 18:53:21 videoserver sudo:     root : PWD=/usr/share/zoneminder/www ; USER=www-data ; COMMAND=/usr/bin/zmdc.pl check,"{'srcuser': 'root', 'dstuser': 'www-data', 'pwd': '/usr/share/zoneminder/www', 'command': '/usr/bin/zmdc.pl check'}"
"{""timestamp"": ""2025-09-22T18:56:02.451+0000"", ""rule"": {""level"": 8, ""description"": ""New user added to the system."", ""id"": ""5902"", ""mitre"": {""id"": [""T1136""], ""tactic"": [""Persistence""], ""technique"": [""Create Account""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""adduser""], ""pci_dss"": [""10.2.7"", ""10.2.5"", ""8.1.2""], ""gpg13"": [""4.13""], ""gdpr"": [""IV_35.7.d"", ""IV_32.2""], ""hipaa"": [""164.312.b"", ""164.312.a.2.I"", ""164.312.a.2.II""], ""nist_800_53"": [""AU.14"", ""AC.7"", ""AC.2"", ""IA.4""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567362.11591429"", ""full_log"": ""Sep 22 18:56:00 videoserver useradd[1658]: new user: name=webadmin, UID=1003, GID=1003, home=/home/webadmin, shell=/bin/bash, from=none"", ""predecoder"": {""program_name"": ""useradd"", ""timestamp"": ""Sep 22 18:56:00"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""useradd"", ""name"": ""useradd""}, ""data"": {""dstuser"": ""webadmin"", ""uid"": ""1003"", ""gid"": ""1003"", ""home"": ""/home/webadmin"", ""shell"": ""/bin/bash,""}, ""location"": ""/var/log/auth.log""}",['T1136'],"['T1105', 'T1136.001']",1_autostart_localaccount,21,data/manifestations_raw\steps\1_autostart_localaccount-21\wazuh/logs/alerts/alerts.json,2025-09-22T18:56:02.451+0000,8,New user added to the system.,5902,1,"['syslog', 'adduser']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567362.11591429,"Sep 22 18:56:00 videoserver useradd[1658]: new user: name=webadmin, UID=1003, GID=1003, home=/home/webadmin, shell=/bin/bash, from=none","{'dstuser': 'webadmin', 'uid': '1003', 'gid': '1003', 'home': '/home/webadmin', 'shell': '/bin/bash,'}"
"{""timestamp"": ""2025-09-22T18:59:02.613+0000"", ""rule"": {""level"": 3, ""description"": ""Successful sudo to ROOT executed."", ""id"": ""5402"", ""mitre"": {""id"": [""T1548.003""], ""tactic"": [""Privilege Escalation"", ""Defense Evasion""], ""technique"": [""Sudo and Sudo Caching""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""syslog"", ""sudo""], ""pci_dss"": [""10.2.5"", ""10.2.2""], ""gpg13"": [""7.6"", ""7.8"", ""7.13""], ""gdpr"": [""IV_32.2""], ""hipaa"": [""164.312.b""], ""nist_800_53"": [""AU.14"", ""AC.7"", ""AC.6""], ""tsc"": [""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758567542.11599707"", ""full_log"": ""Sep 22 18:59:00 videoserver sudo: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/lspci"", ""predecoder"": {""program_name"": ""sudo"", ""timestamp"": ""Sep 22 18:59:00"", ""hostname"": ""videoserver""}, ""decoder"": {""parent"": ""sudo"", ""name"": ""sudo"", ""ftscomment"": ""First time user executed the sudo command""}, ""data"": {""srcuser"": ""webadmin"", ""dstuser"": ""root"", ""pwd"": ""/home/webadmin"", ""command"": ""/usr/bin/lspci""}, ""location"": ""/var/log/auth.log""}",['T1548.003'],['T1120'],1_autostart_localaccount,25,data/manifestations_raw\steps\1_autostart_localaccount-25\wazuh/logs/alerts/alerts.json,2025-09-22T18:59:02.613+0000,3,Successful sudo to ROOT executed.,5402,1,"['syslog', 'sudo']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758567542.11599707,Sep 22 18:59:00 videoserver sudo: webadmin : PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/lspci,"{'srcuser': 'webadmin', 'dstuser': 'root', 'pwd': '/home/webadmin', 'command': '/usr/bin/lspci'}"
"{""timestamp"": ""2025-09-22T18:30:36.127+0000"", ""rule"": {""level"": 10, ""description"": ""Multiple web server 400 error codes from same source ip."", ""id"": ""31151"", ""mitre"": {""id"": [""T1595.002""], ""tactic"": [""Reconnaissance""], ""technique"": [""Vulnerability Scanning""]}, ""frequency"": 14, ""firedtimes"": 1, ""mail"": false, ""groups"": [""web"", ""accesslog"", ""web_scan"", ""recon""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758565836.1693570"", ""previous_output"": ""192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.bas:ShowVolume HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.AP HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.link HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.blt HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.iso-ru HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.xtp HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.de HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.10:100 HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.nl HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.cfc HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\""\n192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.htpasswd HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""full_log"": ""192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.sql HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/borLjZ2z.sql""}, ""location"": ""/var/www/default/log/access.log""}",['T1595.002'],['T1595.002'],1_autostart_localaccount,3,data/manifestations_raw\steps\1_autostart_localaccount-3\wazuh/logs/alerts/alerts.json,2025-09-22T18:30:36.127+0000,10,Multiple web server 400 error codes from same source ip.,31151,1,"['web', 'accesslog', 'web_scan', 'recon']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758565836.1693570,"192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] ""GET /borLjZ2z.sql HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/borLjZ2z.sql'}"
"{""timestamp"": ""2025-09-22T18:30:36.260+0000"", ""rule"": {""level"": 6, ""description"": ""Suspicious URL access."", ""id"": ""31516"", ""mitre"": {""id"": [""T1055""], ""tactic"": [""Defense Evasion"", ""Privilege Escalation""], ""technique"": [""Process Injection""]}, ""firedtimes"": 1, ""mail"": false, ""groups"": [""web"", ""appsec"", ""attack""], ""pci_dss"": [""6.5"", ""11.4""], ""gdpr"": [""IV_35.7.d""], ""nist_800_53"": [""SA.11"", ""SI.4""], ""tsc"": [""CC6.6"", ""CC7.1"", ""CC8.1"", ""CC6.1"", ""CC6.8"", ""CC7.2"", ""CC7.3""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758565836.1733772"", ""full_log"": ""192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] \""GET /borLjZ2z.bak HTTP/1.1\"" 404 396 \""-\"" \""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)\"""", ""decoder"": {""name"": ""web-accesslog""}, ""data"": {""protocol"": ""GET"", ""srcip"": ""192.42.1.174"", ""id"": ""404"", ""url"": ""/borLjZ2z.bak""}, ""location"": ""/var/www/default/log/access.log""}",['T1055'],['T1595.002'],1_autostart_localaccount,3,data/manifestations_raw\steps\1_autostart_localaccount-3\wazuh/logs/alerts/alerts.json,2025-09-22T18:30:36.260+0000,6,Suspicious URL access.,31516,1,"['web', 'appsec', 'attack']","{'id': '002', 'name': 'videoserver', 'ip': '172.17.100.121'}",{'name': 'wazuh'},1758565836.1733772,"192.42.1.174 - - [22/Sep/2025:18:30:36 +0000] ""GET /borLjZ2z.bak HTTP/1.1"" 404 396 ""-"" ""Mozilla/5.00 (Nikto/2.1.5) (Evasions:None) (Test:map_codes)""","{'protocol': 'GET', 'srcip': '192.42.1.174', 'id': '404', 'url': '/borLjZ2z.bak'}"
